name,age,gender,ethnicity
crop_part1/9_0_0_20170110220040107.jpg.chip.jpg,0,0,0
crop_part1/1_1_0_20170109191347386.jpg.chip.jpg,0,1,0
crop_part1/41_1_0_20170103163256248.jpg.chip.jpg,1,1,0
crop_part1/83_1_0_20170110160644142.jpg.chip.jpg,1,1,0
crop_part1/37_0_0_20170104205709259.jpg.chip.jpg,1,0,0
crop_part1/1_0_2_20161219161032534.jpg.chip.jpg,0,0,1
crop_part1/52_0_0_20170105173134925.jpg.chip.jpg,1,0,0
crop_part1/1_1_0_20161219205428229.jpg.chip.jpg,0,1,0
crop_part1/56_1_0_20170110123126617.jpg.chip.jpg,1,1,0
crop_part1/80_1_0_20170110140603775.jpg.chip.jpg,1,1,0
crop_part1/44_0_2_20170107213715065.jpg.chip.jpg,1,0,1
crop_part1/90_0_2_20170111210435708.jpg.chip.jpg,1,0,1
crop_part1/2_1_2_20161219211923782.jpg.chip.jpg,0,1,1
crop_part1/37_0_3_20170105175547134.jpg.chip.jpg,1,0,1
crop_part1/25_1_2_20170104020903060.jpg.chip.jpg,0,1,1
crop_part1/61_1_20170109142408075.jpg.chip.jpg,1,1,1
crop_part1/43_1_0_20170103183515393.jpg.chip.jpg,1,1,0
crop_part1/85_1_0_20170110182404089.jpg.chip.jpg,1,1,0
crop_part1/90_1_2_20170111221639268.jpg.chip.jpg,1,1,1
crop_part1/25_1_0_20170105183634552.jpg.chip.jpg,0,1,0
crop_part1/31_1_0_20170104235124347.jpg.chip.jpg,1,1,0
crop_part1/56_1_0_20170104184326534.jpg.chip.jpg,1,1,0
crop_part1/43_0_4_20170104000923085.jpg.chip.jpg,1,0,1
crop_part1/4_1_4_20161223232228388.jpg.chip.jpg,0,1,1
crop_part1/10_0_3_20170104225238736.jpg.chip.jpg,0,0,1
crop_part1/29_1_0_20170103181717184.jpg.chip.jpg,0,1,0
crop_part1/37_1_0_20170105172735429.jpg.chip.jpg,1,1,0
crop_part1/38_1_2_20170109140654630.jpg.chip.jpg,1,1,1
crop_part1/18_0_4_20170104011044048.jpg.chip.jpg,0,0,1
crop_part1/31_1_4_20170103224732417.jpg.chip.jpg,1,1,1
crop_part1/26_1_3_20170104214731389.jpg.chip.jpg,0,1,1
crop_part1/1_0_2_20161219151505283.jpg.chip.jpg,0,0,1
crop_part1/1_1_0_20170109194142307.jpg.chip.jpg,0,1,0
crop_part1/16_0_0_20170110232313053.jpg.chip.jpg,0,0,0
crop_part1/86_1_0_20170110183619254.jpg.chip.jpg,1,1,0
crop_part1/4_1_4_20161221193345109.jpg.chip.jpg,0,1,1
crop_part1/4_1_3_20161220222145586.jpg.chip.jpg,0,1,1
crop_part1/26_0_0_20170103235702988.jpg.chip.jpg,0,0,0
crop_part1/56_0_0_20170111201122422.jpg.chip.jpg,1,0,0
crop_part1/14_0_1_20170104012054585.jpg.chip.jpg,0,0,1
crop_part1/40_0_4_20170104200459608.jpg.chip.jpg,1,0,1
crop_part1/45_0_0_20170104202521936.jpg.chip.jpg,1,0,0
crop_part1/21_1_2_20170103180145808.jpg.chip.jpg,0,1,1
crop_part1/65_0_0_20170111204905982.jpg.chip.jpg,1,0,0
crop_part1/62_1_0_20170110131354284.jpg.chip.jpg,1,1,0
crop_part1/53_1_0_20170104170652531.jpg.chip.jpg,1,1,0
crop_part1/34_0_0_20170104170059137.jpg.chip.jpg,1,0,0
crop_part1/48_1_3_20170104220351694.jpg.chip.jpg,1,1,1
crop_part1/25_1_2_20170104015640427.jpg.chip.jpg,0,1,1
crop_part1/11_0_0_20170110220710576.jpg.chip.jpg,0,0,0
crop_part1/42_1_4_20170103230535913.jpg.chip.jpg,1,1,1
crop_part1/4_0_0_20170110225200150.jpg.chip.jpg,0,0,0
crop_part1/1_0_2_20161219220247471.jpg.chip.jpg,0,0,1
crop_part1/69_1_0_20170110153039020.jpg.chip.jpg,1,1,0
crop_part1/29_1_0_20170103163418225.jpg.chip.jpg,0,1,0
crop_part1/1_1_0_20170109190538300.jpg.chip.jpg,0,1,0
crop_part1/19_0_3_20170104225836561.jpg.chip.jpg,0,0,1
crop_part1/65_0_0_20170104184048158.jpg.chip.jpg,1,0,0
